3N2zmWLwzO4WDWWS6L8h,automatic,5,1,5,0,1,10,0.17831065,0.17458035,0.8510858324715616
S5Dt1IBirf2O51LZoHgy,automatic,5,1,5,0,1,20,0.23304814,0.23357745,0.8324715615305067
HSCcAZZbRkQB4sMeLIAj,automatic,5,1,10,0,1,10,0.20972636,0.20655087,0.8531540847983454
UxTeqAosxRUNHUpMRhiC,automatic,5,1,10,0,1,20,0.26961988,0.268369,0.8800413650465356
fNjiL73EBjR5CNlTLBYF,automatic,5,1,20,0,1,10,0.19079906,0.18945552,0.8138572905894519
osDCt79hr4vnXV9vvfKM,automatic,5,1,20,0,1,20,0.27087113,0.2687516,0.8841778697001034
MidTls44YkLpRd1bpazb,automatic,10,1,5,0,1,10,0.21773744,0.21780515,0.8376421923474664
BmErxhnz82gs8gbEOrgb,automatic,10,1,5,0,1,20,0.21654141,0.21760236,0.8676318510858325
SnmDOhCLSUcBwvkRm9lV,automatic,10,1,10,0,1,10,0.21381348,0.21551217,0.8469493278179938
DzjjzoDpwZMQnp66AZck,automatic,10,1,10,0,1,20,0.10523699,0.10589027,0.7983453981385729
wHgVZDWhD6HkIOvIXDE1,automatic,10,1,20,0,1,10,0.13169284,0.13083054,0.8210961737331954
KkgHcysXXpvvdSg4ydmh,automatic,10,1,20,0,1,20,0.26289767,0.26024038,0.8531540847983454
